epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4168,1.3832,2.51645,1.1417,0.60582,0.26599,0.25924,0.15606,1.32085,1.49583,1.09212,0.000132544,0.000132544,0.000132544
2,90.7057,1.32096,1.55719,1.12624,0.55861,0.28653,0.29396,0.17644,1.34282,1.39195,1.13002,0.000260613,0.000260613,0.000260613
3,134.494,1.33721,1.45447,1.12649,0.47581,0.27621,0.30806,0.18082,1.35385,1.44464,1.13223,0.000383402,0.000383402,0.000383402
4,179.36,1.31697,1.38834,1.11947,0.56821,0.34892,0.35074,0.2146,1.31896,1.35747,1.13473,0.00037624,0.00037624,0.00037624
5,224.099,1.29628,1.34262,1.11812,0.57615,0.36368,0.36328,0.21334,1.35548,1.32511,1.14246,0.00036832,0.00036832,0.00036832
6,270.054,1.26839,1.25167,1.10294,0.59843,0.37262,0.3812,0.22183,1.35498,1.23847,1.12943,0.0003604,0.0003604,0.0003604
7,325.11,1.26264,1.23606,1.09724,0.60328,0.36194,0.39481,0.2288,1.41087,1.24377,1.15623,0.00035248,0.00035248,0.00035248
8,370.179,1.24879,1.19069,1.08859,0.58522,0.38165,0.41233,0.26271,1.28709,1.20827,1.10602,0.00034456,0.00034456,0.00034456
9,416.41,1.21421,1.13918,1.07557,0.61336,0.4034,0.41842,0.2594,1.292,1.26277,1.1049,0.00033664,0.00033664,0.00033664
10,461.846,1.23016,1.13394,1.07824,0.64201,0.35717,0.39734,0.23902,1.33898,1.15825,1.11812,0.00032872,0.00032872,0.00032872
11,507.944,1.195,1.08877,1.05902,0.63935,0.38078,0.40005,0.24009,1.36767,1.25782,1.12527,0.0003208,0.0003208,0.0003208
12,553.909,1.19448,1.07522,1.06189,0.61053,0.42388,0.43398,0.26847,1.3302,1.13404,1.12071,0.00031288,0.00031288,0.00031288
13,600.415,1.18678,1.05005,1.05609,0.55148,0.45563,0.44878,0.2787,1.32474,1.13463,1.11779,0.00030496,0.00030496,0.00030496
14,646.511,1.17268,1.02388,1.05323,0.7074,0.368,0.43024,0.26619,1.27745,1.16733,1.09776,0.00029704,0.00029704,0.00029704
15,692.485,1.15939,1.0081,1.05072,0.56527,0.41357,0.45155,0.26844,1.32936,1.10863,1.10477,0.00028912,0.00028912,0.00028912
16,738.6,1.14415,0.97679,1.04103,0.60033,0.44534,0.42916,0.26214,1.2536,1.16063,1.08216,0.0002812,0.0002812,0.0002812
17,784.667,1.13633,0.96516,1.037,0.59276,0.41127,0.4249,0.25573,1.27561,1.14543,1.09422,0.00027328,0.00027328,0.00027328
18,830.784,1.11722,0.93691,1.02791,0.65065,0.41643,0.44592,0.28074,1.29305,1.16684,1.11086,0.00026536,0.00026536,0.00026536
19,877.123,1.13625,0.94601,1.0329,0.61655,0.42451,0.4557,0.28436,1.27294,1.07738,1.09222,0.00025744,0.00025744,0.00025744
20,923.334,1.11451,0.91703,1.02261,0.53671,0.45079,0.42538,0.26698,1.24974,1.08232,1.08019,0.00024952,0.00024952,0.00024952
21,969.27,1.09664,0.90207,1.01977,0.60689,0.42313,0.45564,0.28278,1.31522,1.14042,1.10872,0.0002416,0.0002416,0.0002416
22,1015.84,1.0901,0.88208,1.01418,0.62197,0.41189,0.45873,0.28981,1.31112,1.10016,1.10349,0.00023368,0.00023368,0.00023368
23,1061.78,1.09697,0.87701,1.01415,0.55845,0.44667,0.41338,0.25011,1.29947,1.10999,1.10441,0.00022576,0.00022576,0.00022576
24,1107.82,1.08955,0.85622,1.01006,0.5875,0.49003,0.51416,0.28312,1.32868,1.1212,1.12266,0.00021784,0.00021784,0.00021784
25,1154.36,1.07511,0.84409,1.00511,0.56029,0.47172,0.52587,0.29515,1.31863,1.08445,1.11391,0.00020992,0.00020992,0.00020992
26,1199.77,1.05576,0.8176,0.99633,0.69541,0.40544,0.49595,0.29256,1.28205,1.07197,1.09503,0.000202,0.000202,0.000202
27,1245.68,1.0638,0.81763,1.00134,0.51612,0.4939,0.47696,0.27953,1.26085,1.08839,1.08641,0.00019408,0.00019408,0.00019408
28,1291.61,1.049,0.79456,0.99685,0.61287,0.43443,0.4712,0.28713,1.27833,1.05859,1.08883,0.00018616,0.00018616,0.00018616
29,1338.17,1.04337,0.78805,0.9914,0.52811,0.43511,0.46979,0.28368,1.29045,1.10743,1.09547,0.00017824,0.00017824,0.00017824
30,1384.79,1.03265,0.76747,0.98927,0.61317,0.43417,0.46348,0.29055,1.2895,1.09827,1.10663,0.00017032,0.00017032,0.00017032
31,1432.21,1.04315,0.77563,0.98863,0.51867,0.45052,0.45183,0.2758,1.311,1.09796,1.11115,0.0001624,0.0001624,0.0001624
32,1478.16,1.01559,0.75381,0.97937,0.55478,0.44511,0.47366,0.28972,1.29697,1.08084,1.10876,0.00015448,0.00015448,0.00015448
33,1524.06,1.0076,0.74099,0.97728,0.53877,0.44862,0.46619,0.29267,1.2751,1.05882,1.08839,0.00014656,0.00014656,0.00014656
34,1569.92,1.01366,0.73553,0.97411,0.56264,0.42539,0.47452,0.29715,1.26755,1.08454,1.102,0.00013864,0.00013864,0.00013864
35,1615.62,0.98822,0.71113,0.97345,0.61294,0.4464,0.49052,0.30165,1.25723,1.07026,1.07797,0.00013072,0.00013072,0.00013072
36,1661.79,0.9943,0.70425,0.96561,0.55132,0.44715,0.46669,0.29244,1.30633,1.08688,1.11463,0.0001228,0.0001228,0.0001228
37,1707.77,0.97579,0.69408,0.96523,0.6142,0.44027,0.45518,0.28371,1.28964,1.10222,1.11239,0.00011488,0.00011488,0.00011488
38,1753.88,0.97241,0.68524,0.96134,0.63095,0.44718,0.46806,0.29371,1.27089,1.05472,1.10087,0.00010696,0.00010696,0.00010696
39,1798.95,0.96895,0.67751,0.96158,0.61281,0.44756,0.46358,0.28879,1.2802,1.09605,1.10667,9.904e-05,9.904e-05,9.904e-05
40,1843.61,0.96432,0.67,0.9588,0.56167,0.44171,0.4694,0.29545,1.28855,1.06217,1.11319,9.112e-05,9.112e-05,9.112e-05
41,1896.46,0.9648,0.63453,0.94698,0.63225,0.44457,0.4607,0.28701,1.29867,1.10096,1.11447,8.32e-05,8.32e-05,8.32e-05
42,1940.53,0.94046,0.60187,0.93676,0.63763,0.46641,0.52841,0.30039,1.28758,1.10616,1.11251,7.528e-05,7.528e-05,7.528e-05
43,1984.49,0.9301,0.59321,0.93305,0.63285,0.50691,0.53134,0.30659,1.28677,1.10908,1.11152,6.736e-05,6.736e-05,6.736e-05
44,2029.26,0.91801,0.57883,0.92962,0.66551,0.42469,0.47481,0.29692,1.27681,1.10392,1.10163,5.944e-05,5.944e-05,5.944e-05
45,2074.87,0.91495,0.57681,0.92879,0.64764,0.42165,0.48412,0.29359,1.27758,1.09621,1.09984,5.152e-05,5.152e-05,5.152e-05
46,2119.89,0.90222,0.56235,0.9225,0.47243,0.53328,0.52731,0.30923,1.29215,1.10032,1.11671,4.36e-05,4.36e-05,4.36e-05
47,2165.92,0.90227,0.55567,0.92202,0.62747,0.43886,0.45726,0.28547,1.3049,1.10276,1.12615,3.568e-05,3.568e-05,3.568e-05
48,2211.42,0.88547,0.54404,0.91703,0.63896,0.43865,0.46289,0.28805,1.29446,1.09814,1.12215,2.776e-05,2.776e-05,2.776e-05
49,2256.66,0.87862,0.54013,0.91527,0.64098,0.43626,0.46133,0.28728,1.29782,1.10361,1.12164,1.984e-05,1.984e-05,1.984e-05
50,2301.68,0.88005,0.54076,0.91511,0.63501,0.43285,0.45911,0.28729,1.30677,1.10221,1.12829,1.192e-05,1.192e-05,1.192e-05
