epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.941,1.5188,3.88242,1.1532,0.45194,0.13771,0.10831,0.06502,1.54675,2.52648,1.13461,0.000132544,0.000132544,0.000132544
2,65.9419,1.49947,2.49757,1.15729,0.57969,0.16571,0.1624,0.09912,1.41821,1.85711,1.12966,0.000260613,0.000260613,0.000260613
3,96.6666,1.46645,2.06412,1.15198,0.5539,0.20098,0.19913,0.11779,1.45715,1.76963,1.1576,0.000383402,0.000383402,0.000383402
4,126.779,1.42556,1.9073,1.14461,0.59816,0.23048,0.22648,0.1314,1.4747,1.62944,1.1659,0.00037624,0.00037624,0.00037624
5,160.726,1.39468,1.82999,1.13645,0.57129,0.24691,0.23754,0.14198,1.40056,1.58373,1.13059,0.00036832,0.00036832,0.00036832
6,194.683,1.36254,1.7013,1.12501,0.59242,0.26029,0.2529,0.15707,1.32844,1.52263,1.09808,0.0003604,0.0003604,0.0003604
7,228.837,1.36127,1.66032,1.12064,0.53425,0.29464,0.27071,0.16005,1.41945,1.52822,1.13482,0.00035248,0.00035248,0.00035248
8,262.99,1.34615,1.62153,1.11042,0.61546,0.25887,0.27059,0.16759,1.39104,1.51406,1.13305,0.00034456,0.00034456,0.00034456
9,297.194,1.31392,1.53397,1.09795,0.4785,0.33062,0.30452,0.19725,1.32833,1.3905,1.10456,0.00033664,0.00033664,0.00033664
10,332.05,1.33209,1.52019,1.1054,0.64836,0.26923,0.31501,0.19422,1.42095,1.46366,1.13754,0.00032872,0.00032872,0.00032872
11,366.424,1.30058,1.46781,1.08944,0.61536,0.26233,0.28522,0.16612,1.39712,1.42704,1.13158,0.0003208,0.0003208,0.0003208
12,400.555,1.2969,1.44509,1.09141,0.64543,0.28165,0.30314,0.18301,1.39337,1.42692,1.13644,0.00031288,0.00031288,0.00031288
13,435.278,1.29829,1.41859,1.09083,0.6504,0.31087,0.3187,0.19814,1.29933,1.30927,1.08821,0.00030496,0.00030496,0.00030496
14,469.508,1.28079,1.38259,1.08384,0.64392,0.29196,0.31287,0.19142,1.33025,1.33378,1.09409,0.00029704,0.00029704,0.00029704
15,503.81,1.27111,1.36456,1.08284,0.56931,0.36086,0.31974,0.1919,1.35977,1.31309,1.11228,0.00028912,0.00028912,0.00028912
16,536.909,1.25499,1.31534,1.07621,0.62824,0.33403,0.32671,0.19549,1.36066,1.33926,1.10278,0.0002812,0.0002812,0.0002812
17,570.145,1.25221,1.30794,1.07272,0.65703,0.31277,0.32733,0.19731,1.3786,1.35416,1.11625,0.00027328,0.00027328,0.00027328
18,603.247,1.23572,1.28233,1.06597,0.54931,0.38539,0.34977,0.21447,1.31769,1.33729,1.09373,0.00026536,0.00026536,0.00026536
19,636.501,1.24832,1.27241,1.06619,0.62014,0.32997,0.3461,0.21384,1.2765,1.26241,1.07398,0.00025744,0.00025744,0.00025744
20,669.6,1.23482,1.24405,1.06146,0.6371,0.33076,0.33596,0.20469,1.3332,1.28476,1.09983,0.00024952,0.00024952,0.00024952
21,702.809,1.2154,1.21924,1.05784,0.65161,0.32647,0.33991,0.19877,1.42443,1.28529,1.13615,0.0002416,0.0002416,0.0002416
22,736.08,1.21016,1.20663,1.05427,0.68149,0.30224,0.34751,0.20925,1.33968,1.2542,1.10395,0.00023368,0.00023368,0.00023368
23,769.332,1.2196,1.19918,1.05291,0.65355,0.34538,0.3816,0.2414,1.26939,1.24307,1.06717,0.00022576,0.00022576,0.00022576
24,802.291,1.22249,1.17838,1.05292,0.67695,0.32565,0.37158,0.22848,1.36204,1.29153,1.10694,0.00021784,0.00021784,0.00021784
25,835.764,1.20647,1.16145,1.04643,0.68021,0.3234,0.35073,0.21126,1.34231,1.25902,1.0965,0.00020992,0.00020992,0.00020992
26,869.177,1.19001,1.14005,1.03934,0.64768,0.38881,0.39671,0.23441,1.3423,1.26842,1.10389,0.000202,0.000202,0.000202
27,902.169,1.19383,1.14478,1.04445,0.66344,0.33683,0.38122,0.23212,1.31135,1.24412,1.08498,0.00019408,0.00019408,0.00019408
28,935.498,1.17863,1.11721,1.03744,0.64713,0.35812,0.39212,0.24967,1.30111,1.20938,1.08613,0.00018616,0.00018616,0.00018616
29,968.915,1.17555,1.10734,1.03511,0.57046,0.38513,0.38259,0.22925,1.33251,1.23879,1.09719,0.00017824,0.00017824,0.00017824
30,1002.53,1.17084,1.09137,1.03663,0.6209,0.35428,0.3936,0.23951,1.34902,1.21696,1.10647,0.00017032,0.00017032,0.00017032
31,1035.86,1.1848,1.10283,1.0358,0.69526,0.31909,0.38069,0.23449,1.31919,1.20901,1.08643,0.0001624,0.0001624,0.0001624
32,1068.85,1.16059,1.08076,1.02822,0.59509,0.42179,0.41114,0.25271,1.31289,1.20551,1.08343,0.00015448,0.00015448,0.00015448
33,1103.8,1.14984,1.07092,1.02453,0.69153,0.34527,0.37619,0.22507,1.35713,1.21561,1.10054,0.00014656,0.00014656,0.00014656
34,1138.58,1.15993,1.06341,1.02584,0.60824,0.39121,0.39688,0.24213,1.3311,1.19387,1.0914,0.00013864,0.00013864,0.00013864
35,1172.94,1.13063,1.02721,1.02143,0.65006,0.38724,0.40909,0.24442,1.37352,1.1985,1.09894,0.00013072,0.00013072,0.00013072
36,1207.72,1.1457,1.03664,1.01824,0.66227,0.37375,0.41429,0.25286,1.34764,1.2128,1.1025,0.0001228,0.0001228,0.0001228
37,1241.88,1.12714,1.01569,1.01511,0.65804,0.36185,0.41616,0.2545,1.36681,1.22251,1.1185,0.00011488,0.00011488,0.00011488
38,1276.68,1.12677,1.0145,1.01373,0.6228,0.39501,0.41837,0.25978,1.32675,1.18906,1.09567,0.00010696,0.00010696,0.00010696
39,1311.21,1.12398,0.99893,1.01365,0.69999,0.34708,0.43462,0.26944,1.31764,1.16398,1.09574,9.904e-05,9.904e-05,9.904e-05
40,1345.99,1.12985,0.99768,1.01477,0.70401,0.36579,0.42807,0.26755,1.31427,1.1915,1.08414,9.112e-05,9.112e-05,9.112e-05
41,1388.01,1.12555,0.9788,1.00202,0.68062,0.33423,0.40863,0.25812,1.32462,1.22888,1.09259,8.32e-05,8.32e-05,8.32e-05
42,1420.46,1.10157,0.94041,0.99458,0.66058,0.34951,0.40638,0.25675,1.31096,1.21196,1.08243,7.528e-05,7.528e-05,7.528e-05
43,1453.21,1.09547,0.92398,0.99087,0.5952,0.40634,0.41418,0.25808,1.314,1.19755,1.0935,6.736e-05,6.736e-05,6.736e-05
44,1486.45,1.07915,0.90691,0.98628,0.67871,0.36208,0.41467,0.26237,1.30067,1.19012,1.08597,5.944e-05,5.944e-05,5.944e-05
45,1518.66,1.08685,0.90409,0.98986,0.68711,0.36143,0.41929,0.26501,1.30517,1.19254,1.0895,5.152e-05,5.152e-05,5.152e-05
46,1551.17,1.0732,0.89,0.98215,0.7146,0.33421,0.41497,0.26213,1.32059,1.19188,1.09095,4.36e-05,4.36e-05,4.36e-05
47,1583.93,1.0755,0.89023,0.98169,0.56263,0.43061,0.41839,0.26362,1.32643,1.19863,1.09633,3.568e-05,3.568e-05,3.568e-05
48,1616.48,1.06045,0.87119,0.97601,0.58604,0.41768,0.41779,0.25974,1.3455,1.22319,1.10324,2.776e-05,2.776e-05,2.776e-05
